frecuencia_hz,partida_g1_db,partida_g1_fase_grados,partida_g3_db,partida_g3_fase_grados,partida_g5_db,partida_g5_fase_grados,partida_g8_db,partida_g8_fase_grados,partida_g11_db,partida_g11_fase_grados,simple_g1_db,simple_g1_fase_grados,simple_g3_db,simple_g3_fase_grados,simple_g5_db,simple_g5_fase_grados,simple_g8_db,simple_g8_fase_grados,simple_g11_db,simple_g11_fase_grados
38.0189396,-0.0125308787,4.14788044,9.52980982,4.14661639,13.9667091,4.14535235,18.0489952,4.14345635,20.8149355,4.14156039,-0.0435897274,4.10217702,9.37744821,10.8051238,13.8044231,12.1621158,17.8833046,12.9253314,20.6482385,13.2713515
39.8107171,-0.011478904,3.95531142,9.5308618,3.9539878,13.9677611,3.95266419,18.0500471,3.95067883,20.8159875,3.94869352,-0.0399099571,3.91537816,9.39163449,10.325064,13.8194836,11.6211365,17.898669,12.3498849,20.6636959,12.6801686
41.6869383,-0.0105194696,3.77110247,9.53182123,3.76971646,13.9687205,3.76833048,18.0510066,3.76625155,20.8169469,3.76417267,-0.036536761,3.7362204,9.4046178,9.86476133,13.8332646,11.1026158,17.9127271,11.7984326,20.6778388,12.1136783
43.6515832,-0.00964446256,3.59486667,9.53269624,3.59341534,13.9695955,3.59196404,18.0518816,3.58978713,20.8178219,3.58761028,-0.0334459607,3.56440451,9.4164966,9.42350512,13.8458712,10.6057255,17.9255864,11.2700778,20.6907756,11.5709525
45.708819,-0.00884648109,3.42623354,9.53349422,3.42471381,13.9703935,3.42319411,18.0526796,3.42091461,20.8186199,3.41863517,-0.0306150656,3.39963735,9.42736185,9.00059298,13.8574004,10.1296507,17.9373462,10.7639399,20.7026059,11.0510801
47.8630092,-0.00811877298,3.26484829,9.53422193,3.26325694,13.9711212,3.26166562,18.0534073,3.25927869,20.8193476,3.25689182,-0.0280231929,3.24163233,9.43729753,8.59533305,13.8679418,9.67359138,17.9480979,10.2791561,20.713422,10.5531696
50.1187234,-0.00745517886,3.11037113,9.53488552,3.10870478,13.9717848,3.10703846,18.0540709,3.10453903,20.8200112,3.10203968,-0.0256509827,3.0901097,9.44638104,8.20704581,13.8775779,9.23676433,17.9579258,9.81488328,20.7233086,10.0763501
52.480746,-0.00685008059,2.96247659,9.53549062,2.96073171,13.9723899,2.95898686,18.054676,2.95636964,20.8206163,2.95375249,-0.0234805141,2.94479683,9.4546837,7.83506566,13.8863846,8.81840453,17.9669075,9.37029883,20.7323439,9.61977252
54.9540874,-0.00629835405,2.82085289,9.53604235,2.81902577,13.9729416,2.81719869,18.0552277,2.81445813,20.821168,2.81171763,-0.0214952198,2.80542834,9.46227115,7.47874206,13.8944319,8.41776617,17.9751144,8.94460201,20.7405996,9.18261084
57.5439937,-0.00579532608,2.6852013,9.53654538,2.68328808,13.9734447,2.68137489,18.0557307,2.67850516,20.8216711,2.67563551,-0.0196798026,2.67174629,9.46920375,7.13744057,13.901784,8.03412349,17.982612,8.53701449,20.7481418,8.76406252
60.2559586,-0.00533673516,2.55523554,9.53700397,2.55323215,13.9739032,2.5512288,18.0561893,2.54822383,20.8221296,2.54521894,-0.0180201542,2.54350018,9.47553694,6.81054351,13.9084999,7.66677135,17.9894606,8.14678082,20.755031,8.36334898
63.0957344,-0.00491869556,2.43068121,9.53742201,2.4285834,13.9743213,2.42648563,18.0566073,2.42333904,20.8225477,2.42019254,-0.0165032755,2.42044699,9.48132167,6.4974505,13.9146336,7.31502562,17.9957155,7.77316879,20.7613229,7.97971585
66.0693448,-0.00453766454,2.31127522,9.53780304,2.30907854,13.9747023,2.30688191,18.0569884,2.30358702,20.8229287,2.30029223,-0.0151172009,2.30235113,9.48660468,6.19757884,13.920235,6.97822336,18.0014273,7.41546944,20.7670685,7.612433
69.1830971,-0.00419041253,2.19676524,9.5381503,2.19446504,13.9750496,2.19216488,18.0573356,2.18871472,20.8232759,2.18526464,-0.0138509259,2.1889844,9.49142884,5.91036362,13.9253496,6.6557229,18.0066426,7.07299713,20.7723146,7.26079452
72.443596,-0.00387399587,2.08690924,9.53846671,2.08450064,13.975366,2.08209207,18.057652,2.0784793,20.8235924,2.07486663,-0.0126943372,2.08012582,9.49583347,5.63525786,13.9300191,6.34690377,18.011404,6.74508929,20.7771041,6.92411845
75.8577575,-0.00358573195,1.98147492,9.53875498,1.9789528,13.9756543,1.97643073,18.0579403,1.97264769,20.8238806,1.96886476,-0.0116381481,1.97556159,9.49985456,5.37173241,13.9342819,6.05116647,18.0157505,6.4311062,20.7814762,6.60174655
79.4328235,-0.00332317659,1.88023928,9.53901754,1.8775983,13.9759168,1.87495736,18.0582028,1.87099604,20.8241432,1.86703482,-0.0106738361,1.87508485,9.50352512,5.11927582,13.9381728,5.76793227,18.0197178,6.13043062,20.785467,6.29304381
83.1763771,-0.00308410332,1.78298814,9.53925661,1.78022269,13.9761559,1.77745729,18.0584419,1.77330928,20.8243822,1.76916138,-0.00979358553,1.77849554,9.50687535,4.87739411,13.941724,5.49664278,18.0233388,5.84246739,20.7891092,5.99739808
87.096359,-0.00286648467,1.6895157,9.53947423,1.68661992,13.9763735,1.68372419,18.0586595,1.67938069,20.8245998,1.6750373,-0.00899023281,1.68560023,9.50993289,4.64561045,13.9449649,5.2367596,18.0266432,5.56664288,20.7924331,5.71421948
91.2010839,-0.0026684749,1.59962412,9.53967224,1.59659186,13.9765715,1.59355966,18.0588575,1.58901146,20.8247978,1.58446337,-0.00825721595,1.59621184,9.51272303,4.42346486,13.9479223,4.9877638,18.0296585,5.30240451,20.7954662,5.44293984
95.4992586,-0.00248839449,1.51312308,9.53985232,1.50994792,13.9767516,1.50677282,18.0590376,1.50201026,20.8249779,1.49724783,-0.00758852724,1.5101495,9.51526891,4.21051375,13.9506207,4.74915544,18.0324098,5.04922013,20.7982336,5.18301212
