frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
41.6869383,-0.0680479414,-0.0671742594,-5.12801451,-5.12774204
42.6579519,-0.0679931413,-0.0670782762,-5.12907505,-5.12878981
43.6515832,-0.0679357582,-0.0669777684,-5.1301853,-5.12988669
44.6683592,-0.0678756703,-0.0668725226,-5.13134757,-5.13103497
45.708819,-0.0678127501,-0.0667623154,-5.13256428,-5.13223704
46.7735141,-0.0677468641,-0.0666469128,-5.13383796,-5.13349541
47.8630092,-0.0676778725,-0.0665260699,-5.13517128,-5.13481269
48.9778819,-0.0676056289,-0.0663995301,-5.13656699,-5.13619163
50.1187234,-0.0675299799,-0.0662670248,-5.138028,-5.13763508
51.2861384,-0.0674507649,-0.0661282725,-5.13955733,-5.13914605
52.480746,-0.067367816,-0.0659829788,-5.14115817,-5.14072767
53.7031796,-0.0672809569,-0.0658308351,-5.14283382,-5.14238321
54.9540874,-0.0671900035,-0.0656715183,-5.14458775,-5.1441161
56.2341325,-0.0670947625,-0.0655046901,-5.14642358,-5.14592992
57.5439937,-0.0669950319,-0.0653299962,-5.1483451,-5.14782841
58.8843655,-0.0668905999,-0.0651470656,-5.15035626,-5.14981548
60.2559586,-0.0667812449,-0.0649555097,-5.15246122,-5.15189523
61.6595002,-0.0666667347,-0.0647549218,-5.15466428,-5.15407193
63.0957344,-0.0665468263,-0.0645448756,-5.15696998,-5.15635005
64.5654229,-0.0664212651,-0.0643249249,-5.15938302,-5.15873425
66.0693448,-0.0662897844,-0.0640946026,-5.16190836,-5.16122942
67.6082975,-0.0661521052,-0.0638534191,-5.16455114,-5.16384064
69.1830971,-0.0660079352,-0.0636008621,-5.16731675,-5.16657326
70.7945784,-0.0658569681,-0.0633363948,-5.17021081,-5.16943281
72.443596,-0.0656988834,-0.0630594552,-5.17323919,-5.17242512
74.1310241,-0.0655333455,-0.0627694546,-5.17640805,-5.17555625
75.8577575,-0.0653600027,-0.0624657768,-5.17972377,-5.17883252
77.6247117,-0.065178487,-0.062147776,-5.18319304,-5.18226056
79.4328235,-0.0649884128,-0.0618147763,-5.18682285,-5.18584727
81.2830516,-0.0647893763,-0.0614660695,-5.19062048,-5.18959984
83.1763771,-0.0645809548,-0.0611009142,-5.19459354,-5.1935258
85.1138038,-0.0643627056,-0.0607185337,-5.19874994,-5.19763299
87.096359,-0.0641341649,-0.0603181147,-5.20309798,-5.20192959
